City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
234,Kokopo,PG,-4.352,152.2633,298.16,82,23,2.14,few clouds
235,Tucuman,AR,-26.8241,-65.2226,305.15,43,0,3.09,clear sky
236,Khatanga,RU,71.9667,102.5,235.31,78,0,3.28,clear sky
237,Villarrobledo,ES,39.2699,-2.6012,279.82,96,90,2.24,overcast clouds
238,Provideniya,RU,64.3833,-173.3,255.25,89,67,3.45,broken clouds
239,Da Lat,VN,11.9465,108.4419,286.38,98,75,1.09,broken clouds
240,General Elizardo Aquino,PY,-24.4333,-56.7,299.21,60,0,2.48,clear sky
241,Tuktoyaktuk,CA,69.4541,-133.0374,246.15,76,75,8.23,snow
242,Kahului,US,20.8947,-156.47,297.15,50,20,3.6,few clouds
243,Bosaso,SO,11.2842,49.1816,296.2,77,15,0.76,few clouds
244,Carman,CA,49.4992,-98.0016,248.15,53,95,5.66,overcast clouds
245,Mingaora,PK,34.7758,72.3625,281.39,43,0,2.11,clear sky
246,Mokhsogollokh,RU,61.4681,128.9203,234.15,80,94,1.16,overcast clouds
247,Rudraprayag,IN,30.2833,78.9833,281.24,51,0,2.35,clear sky
248,Ilhabela,BR,-23.7781,-45.3581,297.76,67,80,1.62,broken clouds
249,Pisco,PE,-13.7,-76.2167,297.15,78,75,4.63,light rain
250,Snyder,US,32.7179,-100.9176,289.15,13,1,9.26,clear sky
251,Panaba,MX,21.2833,-88.2667,305.4,49,11,5.45,few clouds
252,Thompson,CA,55.7435,-97.8558,241.15,56,75,7.2,snow
253,Maku,IR,39.2911,44.4521,271.93,83,0,2.83,clear sky
254,Livingstonia,MW,-10.606,34.1063,292.19,85,99,1.69,light rain
255,Flinders,AU,-34.5833,150.8552,294.26,88,3,0.45,clear sky
256,Ust-Ordynskiy,RU,52.805,104.7508,254.15,84,0,1.59,clear sky
257,Iqaluit,CA,63.7506,-68.5145,269.15,86,90,6.17,overcast clouds
258,Bethel,US,41.3712,-73.414,278.15,30,1,6.17,clear sky
259,Chulumani,BO,-16.4096,-67.5263,295.02,74,66,1.54,broken clouds
260,Sal Rei,CV,16.1833,-22.9167,293.15,60,75,9.26,broken clouds
261,Coruripe,BR,-10.1256,-36.1756,299.97,77,21,7.74,few clouds
262,Asmara,ER,15.3333,38.9333,279.5,100,57,1.72,broken clouds
263,Mahibadhoo,MV,3.7833,72.9667,300.19,77,27,4.97,scattered clouds
264,Acapulco,MX,16.8634,-99.8901,302.15,65,20,4.12,few clouds
265,Vila,PT,42.0304,-8.1588,279.26,83,60,1.73,broken clouds
266,Arraial Do Cabo,BR,-22.9661,-42.0278,295.15,94,75,1.54,broken clouds
267,Kothapet,IN,19.3333,79.4833,290.89,43,44,2.72,scattered clouds
268,Luanda,AO,-8.8368,13.2343,300.15,78,20,4.12,few clouds
269,Anadyr,RU,64.75,177.4833,251.48,77,10,6.0,clear sky
270,Chunskiy,RU,56.0815,99.6342,264.17,97,100,2.1,overcast clouds
271,Kenai,US,60.5544,-151.2583,263.71,92,90,2.57,mist
272,Tortoli,IT,39.9256,9.6572,286.15,88,90,5.66,overcast clouds
273,Hasaki,JP,35.7333,140.8333,276.15,81,20,1.54,few clouds
274,Kinrooi,BE,51.1476,5.7385,273.71,100,90,7.2,snow
275,Maldonado,UY,-34.6667,-54.9167,296.48,83,75,7.2,broken clouds
276,Airai,TL,-8.9266,125.4092,288.77,100,95,0.93,overcast clouds
277,Manggar,ID,-2.8833,108.2667,299.35,84,99,5.46,overcast clouds
278,Ketchikan,US,55.3422,-131.6461,276.15,93,90,4.12,light rain
279,Makakilo City,US,21.3469,-158.0858,297.15,50,90,4.12,overcast clouds
280,Abu Dhabi,AE,24.4667,54.3667,294.15,60,0,1.03,clear sky
281,Tautira,PF,-17.7333,-149.15,301.15,54,40,6.17,light rain
282,Fort Nelson,CA,58.8053,-122.7002,242.15,76,1,1.03,clear sky
283,Hofn,IS,64.2539,-15.2082,274.55,86,98,7.71,light snow
284,Taltal,CL,-25.4,-70.4833,293.75,60,22,2.49,few clouds
285,Ancud,CL,-41.8697,-73.8203,298.15,44,0,3.6,clear sky
286,Helena,US,46.5927,-112.0361,271.48,73,90,1.2,light snow
287,Damphu,BT,27.0721,90.1096,282.27,66,90,2.52,overcast clouds
288,Senador Jose Porfirio,BR,-2.5908,-51.9542,304.85,51,17,1.79,few clouds
289,Mapiripan,CO,2.8892,-72.1256,302.0,71,83,2.71,broken clouds
290,Beloha,MG,-25.1667,45.05,297.47,91,4,2.19,clear sky
291,Sept-Iles,CA,50.2001,-66.3821,272.15,100,100,1.54,snow
292,Nishihara,JP,26.1842,127.7558,292.15,77,20,3.09,few clouds
293,Gojra,PK,31.1487,72.6866,284.44,49,0,1.26,clear sky
294,Victoria,HK,22.2855,114.1577,292.04,67,0,1.78,clear sky
295,Moussoro,TD,13.6408,16.4901,293.65,21,78,5.29,broken clouds
296,Straumen,NO,63.8709,11.2999,269.82,79,0,3.6,clear sky
297,Torit,SS,4.4133,32.5678,297.69,21,0,0.62,clear sky
298,Meleuz,RU,52.9667,55.9167,257.15,91,100,6.63,overcast clouds
299,Dalian,CN,38.9122,121.6022,272.15,55,0,4.0,clear sky
300,Juneau,US,58.3019,-134.4197,269.15,46,40,2.06,scattered clouds
301,Marsh Harbour,BS,26.5412,-77.0636,297.95,78,0,9.11,clear sky
302,Uyemskiy,RU,64.4743,40.8524,259.15,66,90,5.0,light snow
303,Pacifica,US,37.6138,-122.4869,292.04,67,1,2.06,clear sky
304,Cabo San Lucas,MX,22.8909,-109.9124,299.82,56,1,4.12,clear sky
305,Xai-Xai,MZ,-25.0519,33.6442,297.35,85,98,2.62,overcast clouds
306,Vredendal,ZA,-31.6683,18.5012,293.09,82,0,6.8,clear sky
307,Ulm,DE,48.3984,9.9916,278.71,88,100,0.45,overcast clouds
308,At-Bashi,KG,41.1702,75.8106,267.75,78,100,0.82,overcast clouds
309,Launceston,AU,-41.45,147.1667,287.04,100,75,2.57,broken clouds
310,Comodoro Rivadavia,AR,-45.8667,-67.5,287.15,72,90,7.72,light rain
311,Kyra,RU,49.5776,111.9753,251.64,84,67,1.55,broken clouds
312,Saskylakh,RU,71.9167,114.0833,235.45,81,96,3.18,overcast clouds
313,Rundu,NA,-17.9333,19.7667,295.47,69,100,1.35,light rain
314,Malanje,AO,-9.5402,16.341,292.11,96,100,1.32,overcast clouds
315,Kavaratti,IN,10.5669,72.642,300.48,58,12,3.08,few clouds
316,Atar,MR,20.5169,-13.0499,290.29,30,1,5.2,clear sky
317,Macaubas,BR,-13.0194,-42.6986,296.15,88,84,1.01,broken clouds
318,Isangel,VU,-19.55,169.2667,298.15,94,20,1.46,few clouds
319,Dingle,PH,10.9995,122.6711,296.65,92,48,3.29,light rain
320,Gat,IL,31.61,34.7642,287.59,100,1,0.86,clear sky
321,Madinat Sittah Uktubar,EG,29.8167,31.05,288.15,77,0,5.01,clear sky
322,Methoni,GR,36.8197,21.7049,287.04,93,9,1.54,clear sky
323,Huarmey,PE,-10.0681,-78.1522,296.95,67,60,4.74,broken clouds
324,Nhulunbuy,AU,-12.2333,136.7667,300.15,83,75,5.66,light rain
325,Svetlyy,RU,54.675,20.1347,255.15,85,0,1.91,clear sky
326,Fatsa,TR,41.0278,37.5014,281.15,76,0,3.84,clear sky
327,Morondava,MG,-20.2833,44.2833,300.42,81,99,2.02,moderate rain
328,Narsaq,GL,60.9167,-46.05,272.15,40,75,2.57,broken clouds
329,Evanston,US,42.0411,-87.6901,263.15,67,90,3.09,light snow
330,Morant Bay,JM,17.8815,-76.4093,303.15,65,20,10.8,few clouds
331,Arvika,SE,59.6553,12.5852,264.15,86,20,2.57,few clouds
332,Pitimbu,BR,-7.4706,-34.8086,301.15,74,0,3.6,clear sky
333,Mahajanga,MG,-15.7167,46.3167,299.15,94,40,0.51,light rain
334,Grand Gaube,MU,-20.0064,57.6608,298.15,84,1,2.24,moderate rain
335,Tazovskiy,RU,67.4667,78.7,240.58,86,66,4.32,broken clouds
336,Tynda,RU,55.1667,124.7167,243.3,82,67,1.23,broken clouds
337,Itoman,JP,26.1247,127.6694,292.15,88,75,1.54,broken clouds
338,Ixtapa,MX,20.7,-105.2,298.15,65,75,4.12,broken clouds
339,Lethem,GY,3.3803,-59.7968,305.29,44,100,5.43,overcast clouds
340,Emerald,AU,-23.5333,148.1667,300.37,78,90,3.09,overcast clouds
341,Altay,CN,47.8667,88.1167,267.51,89,84,1.01,broken clouds
342,Yulara,AU,-25.2406,130.9889,294.15,40,0,3.09,clear sky
343,Vostok,RU,46.4856,135.8833,247.92,90,100,1.1,overcast clouds
344,Tonantins,BR,-2.8731,-67.8022,301.54,81,61,1.68,broken clouds
345,Valle De Guadalupe,MX,21.0,-102.6167,298.58,17,98,5.54,overcast clouds
346,Oistins,BB,13.0667,-59.5333,301.15,57,20,8.75,few clouds
347,Puerto Ayacucho,VE,5.6639,-67.6236,307.32,42,99,1.61,overcast clouds
348,Pombas,CV,17.1503,-25.0201,294.15,56,75,9.26,broken clouds
349,Quelimane,MZ,-17.8786,36.8883,302.04,89,40,1.03,light rain
350,Muros,ES,42.7762,-9.0603,279.26,86,60,0.89,broken clouds
351,Vila Franca Do Campo,PT,37.7167,-25.4333,288.71,94,75,5.66,broken clouds
352,Baijiantan,CN,45.6333,85.1833,264.04,93,0,0.6,clear sky
353,Yuncheng,CN,35.0231,110.9928,279.24,52,52,1.44,broken clouds
354,Arman,RU,59.7,150.1667,258.26,87,100,4.86,overcast clouds
355,Klyuchi,RU,52.2667,79.1667,270.92,92,59,10.13,broken clouds
356,La Ronge,CA,55.1001,-105.2842,244.15,57,71,3.6,broken clouds
357,Monte Alegre,BR,-2.0078,-54.0692,305.8,45,26,3.27,scattered clouds
358,Cockburn Town,TC,21.4612,-71.1419,300.15,69,20,7.2,few clouds
359,Xining,CN,36.6167,101.7667,267.35,68,100,1.05,overcast clouds
360,Narok,KE,-1.0783,35.8601,290.59,73,100,0.62,overcast clouds
361,San Cristobal,VE,7.7669,-72.225,304.15,55,40,4.12,scattered clouds
362,Novi,US,42.4806,-83.4755,267.59,63,100,1.34,overcast clouds
363,Harper,LR,4.375,-7.7169,299.53,87,8,3.85,clear sky
364,Egvekinot,RU,66.3167,-179.1667,250.99,77,9,3.7,clear sky
365,Katsuura,JP,35.1333,140.3,279.15,65,0,2.57,clear sky
366,Hambantota,LK,6.1241,81.1185,297.95,82,97,7.13,overcast clouds
367,Sanmenxia,CN,34.7747,111.1814,280.17,47,63,0.95,broken clouds
368,Dhidhdhoo,MV,6.8833,73.1,300.44,77,0,4.5,clear sky
369,Mahanoro,MG,-19.9,48.8,299.12,83,100,3.5,overcast clouds
370,North Bend,US,43.4065,-124.2243,282.59,71,90,2.06,overcast clouds
371,Appingedam,NL,53.3217,6.8583,272.59,76,100,4.92,overcast clouds
372,Upernavik,GL,72.7868,-56.1549,266.46,77,97,1.88,overcast clouds
373,Sao Filipe,CV,14.8961,-24.4956,294.02,76,62,6.44,broken clouds
374,Luang Prabang,LA,19.8856,102.1347,291.63,75,0,0.29,clear sky
375,Araouane,ML,18.9048,-3.5265,298.07,21,100,8.03,overcast clouds
376,Oranjemund,NA,-28.55,16.4333,291.21,93,13,6.54,few clouds
377,Klaksvik,FO,62.2266,-6.589,275.15,55,20,9.77,few clouds
378,Champerico,GT,14.3,-91.9167,305.15,48,40,3.09,scattered clouds
379,Karratha,AU,-20.7377,116.8463,298.44,70,18,4.38,few clouds
380,Aksu,CN,41.1231,80.2644,269.68,87,10,1.34,clear sky
381,Ola,RU,59.5833,151.2833,259.65,88,100,4.35,overcast clouds
382,Buala,SB,-8.145,159.5921,300.84,81,94,4.75,light rain
383,Khovu-Aksy,RU,51.1333,93.6,257.71,87,1,2.44,clear sky
384,Kampong Cham,KH,11.9934,105.4635,296.62,80,78,2.65,broken clouds
385,Verkhnyaya Inta,RU,65.9811,60.3094,239.72,84,73,4.5,broken clouds
386,Mayo,US,38.8876,-76.5119,283.71,32,1,2.06,clear sky
387,Dedza,MW,-14.3779,34.3332,288.65,98,100,0.52,overcast clouds
388,Orlik,RU,52.5178,99.825,251.97,81,47,1.28,scattered clouds
389,Qui Nhon,VN,13.7667,109.2333,293.94,90,90,3.49,overcast clouds
390,Brae,GB,60.3964,-1.353,274.15,51,40,8.23,scattered clouds
391,Salalah,OM,17.0151,54.0924,297.15,69,40,3.6,scattered clouds
392,Florianopolis,BR,-27.6146,-48.5012,298.15,65,0,6.17,clear sky
393,Dwarka,IN,22.2394,68.9678,294.06,45,0,6.33,clear sky
394,Macau,MO,22.2006,113.5461,290.15,88,0,0.39,clear sky
395,San Patricio,US,28.017,-97.5169,296.15,64,75,7.2,broken clouds
396,Bandarbeyla,SO,9.4942,50.8122,297.61,79,27,6.03,scattered clouds
397,Mantua,IT,45.1667,10.7833,282.59,94,100,1.79,light rain
398,Kitui,KE,-1.367,38.0106,294.2,67,52,1.2,broken clouds
399,Hamada,JP,34.8833,132.0833,277.59,32,35,1.34,scattered clouds
400,Clyde River,CA,70.4692,-68.5914,248.15,77,75,2.06,broken clouds
401,Kaitong,CN,44.8135,123.15,256.82,93,70,2.97,broken clouds
402,Kalmunai,LK,7.4167,81.8167,297.78,88,48,4.15,scattered clouds
403,Seydi,TM,39.4816,62.9137,282.92,64,100,2.15,overcast clouds
404,Pokhara,NP,28.2333,83.9833,281.95,51,0,1.85,clear sky
405,Maumere,ID,-8.6199,122.2111,299.13,77,99,1.28,overcast clouds
406,Lata,PT,40.1629,-8.3327,284.26,79,63,1.34,broken clouds
407,Asau,RO,46.4333,26.4,271.48,74,100,1.63,light rain
408,Ekuvukeni,ZA,-28.4675,30.1551,290.81,91,76,1.75,light rain
409,Sao Joao Da Barra,BR,-21.6403,-41.0511,295.15,94,75,6.17,broken clouds
410,Koslan,RU,63.4564,48.8989,247.74,86,100,4.3,overcast clouds
411,Maceio,BR,-9.6658,-35.7353,300.15,78,0,5.14,clear sky
412,Vila Velha,BR,-20.3297,-40.2925,301.15,74,20,7.2,few clouds
413,Barahona,DO,18.2085,-71.1008,301.15,83,40,8.23,scattered clouds
414,Isiro,CD,2.7739,27.616,293.48,36,0,1.08,clear sky
415,Coquimbo,CL,-29.9533,-71.3436,292.15,63,0,6.17,clear sky
416,Tabas,IR,33.5959,56.9244,284.15,22,5,2.06,clear sky
417,Bekes,HU,46.75,21.0,278.15,90,100,3.58,overcast clouds
418,San Blas,MX,21.5167,-105.2667,301.15,57,20,4.12,few clouds
419,Miles City,US,46.4083,-105.8406,257.15,66,90,3.6,overcast clouds
420,Alofi,NU,-19.0595,-169.9187,302.15,79,75,5.66,light rain
421,Ballina,AU,-28.8667,153.5667,295.93,88,40,1.59,scattered clouds
422,Balkhash,KZ,46.844,74.9804,274.38,91,100,6.82,light rain
423,Natal,BR,-5.795,-35.2094,302.15,65,75,5.14,broken clouds
424,Diffa,NE,13.3154,12.6113,293.39,24,95,4.74,overcast clouds
425,Shiyan,CN,32.6475,110.7781,282.58,48,17,0.63,few clouds
426,Rovaniemi,FI,66.5,25.7167,263.15,85,0,4.63,clear sky
427,Kang,BW,-23.6752,22.7876,292.75,90,98,4.21,overcast clouds
428,Show Low,US,34.2542,-110.0298,283.71,16,1,4.12,clear sky
429,Talnakh,RU,69.4865,88.3972,239.25,74,0,1.17,clear sky
430,Udachnyy,RU,66.4167,112.4,235.1,79,0,2.27,clear sky
431,Taoudenni,ML,22.6783,-3.9836,291.76,27,12,5.02,few clouds
432,Khor,RU,47.8861,134.9464,246.65,89,98,1.22,overcast clouds
433,Hermon,US,44.8101,-68.9134,275.37,37,75,2.57,broken clouds
434,Guntakal,IN,15.1667,77.3833,292.47,61,4,3.36,clear sky
435,Saint George,US,37.1041,-113.5841,288.71,24,1,1.02,clear sky
436,Luganville,VU,-15.5333,167.1667,300.48,74,4,2.07,clear sky
437,La Asuncion,VE,11.0333,-63.8628,298.93,73,100,8.06,overcast clouds
438,North Battleford,CA,52.7834,-108.2847,245.15,69,1,1.54,clear sky
439,Chontalpa,MX,17.7,-93.5167,304.39,59,0,2.75,clear sky
440,Sambava,MG,-14.2667,50.1667,297.96,85,95,1.77,overcast clouds
441,Miracema Do Tocantins,BR,-9.5618,-48.3967,297.7,92,99,1.56,overcast clouds
442,Nemuro,JP,43.3236,145.575,269.42,97,100,5.68,light snow
443,Tairua,NZ,-37.0167,175.85,293.15,61,97,3.58,overcast clouds
444,Hualmay,PE,-11.0964,-77.6139,296.84,68,85,4.29,overcast clouds
445,Makkaveyevo,RU,51.7533,113.9454,247.15,84,82,0.93,broken clouds
446,Biritiba-Mirim,BR,-23.5698,-46.0407,298.15,68,75,6.17,broken clouds
447,Axim,GH,4.8699,-2.2405,299.94,87,0,3.83,clear sky
448,Kavieng,PG,-2.5744,150.7967,301.08,74,88,1.94,overcast clouds
449,Linxia,CN,35.6003,103.2064,272.01,70,100,0.56,overcast clouds
450,Cumbum,IN,9.7333,77.3,291.79,76,0,0.18,clear sky
451,Gambela,ET,8.25,34.5833,299.71,17,81,0.96,broken clouds
452,Locharbriggs,GB,55.1034,-3.5844,276.48,100,75,10.29,broken clouds
453,Hede,CN,33.7681,120.2517,280.14,77,0,1.97,clear sky
454,Barcelona,ES,41.3888,2.159,286.48,88,20,4.12,few clouds
455,Ponta Do Sol,PT,32.6667,-17.1,285.93,67,14,0.45,few clouds
456,Urusha,RU,54.05,122.9,246.61,85,97,1.3,overcast clouds
457,Halifax,CA,44.6453,-63.5724,278.15,56,3,11.83,clear sky
458,Zhigansk,RU,66.7697,123.3711,232.66,80,94,5.13,overcast clouds
459,Kuusamo,FI,65.9667,29.1833,265.15,86,90,5.14,overcast clouds
460,Ponta Delgada,PT,37.7333,-25.6667,288.71,94,75,5.66,broken clouds
461,Tutoia,BR,-2.7619,-42.2744,302.15,74,20,7.72,few clouds
462,Sudbury,CA,46.49,-80.99,264.26,57,75,7.72,snow
463,Sorland,NO,67.667,12.6934,274.79,81,77,10.83,broken clouds
464,Bonavista,CA,48.6499,-53.1147,274.26,100,100,2.06,moderate rain
465,Saint-Joseph,RE,-21.3667,55.6167,299.26,78,90,2.57,light rain
466,Tommot,RU,58.9564,126.2925,243.02,81,94,0.67,overcast clouds
467,Ca Mau,VN,9.1769,105.15,295.93,87,91,1.05,overcast clouds
468,Hobyo,SO,5.3505,48.5268,298.43,79,0,6.43,clear sky
